99999 1 2
25356 50711 25356 1
13091 26181 13091 1
65364 69272 65364 1
30559 61117 30559 1
36846 73691 36846 1
3073 6145 3073 1
6106 12211 6106 1
74488 51024 74488 1
33117 66233 33117 1
99809 382 99809 1
72549 54902 72549 1
78362 43276 78362 1
27519 55037 27519 1
39213 78425 39213 1
47763 95525 47763 1
82586 34828 82586 1
98421 3158 98421 1
38722 77443 38722 1
61107 77786 61107 1
11305 22609 11305 1
91901 16198 91901 1
97197 5606 97197 1
68973 62054 68973 1
58524 82952 58524 1
53529 92942 53529 1
66494 67012 66494 1
82245 35510 82245 1
18845 37689 18845 1
83184 33632 83184 1
21755 43509 21755 1
40910 81819 40910 1
6197 12393 6197 1
17841 35681 17841 1
80324 39352 80324 1
26136 52271 26136 1
56589 86822 56589 1
10744 21487 10744 1
27450 54899 27450 1
86855 26290 86855 1
36211 72421 36211 1
91695 16610 91695 1
61944 76112 61944 1
88888 22224 88888 1
49631 99261 49631 1
3281 6561 3281 1
6707 13413 6707 1
277 553 277 1
35399 70797 35399 1
5038 10075 5038 1
26127 52253 26127 1
71368 57264 71368 1
53944 92112 53944 1
53012 93976 53012 1
31104 62207 31104 1
21185 42369 21185 1
65038 69924 65038 1
24884 49767 24884 1
2447 4893 2447 1
74325 51350 74325 1
75314 49372 75314 1
71910 56180 71910 1
56533 86934 56533 1
30005 60009 30005 1
81248 37504 81248 1
35417 70833 35417 1
26649 53297 26649 1
83901 32198 83901 1
52856 94288 52856 1
97885 4230 97885 1
20263 40525 20263 1
76161 47678 76161 1
46814 93627 46814 1
93801 12398 93801 1
68062 63876 68062 1
32430 64859 32430 1
2320 4639 2320 1
39513 79025 39513 1
87810 24380 87810 1
55336 89328 55336 1
62177 75646 62177 1
91627 16746 91627 1
92064 15872 92064 1
18165 36329 18165 1
19561 39121 19561 1
28765 57529 28765 1
64395 71210 64395 1
99891 218 99891 1
87313 25374 87313 1
68189 63622 68189 1
61133 77734 61133 1
26896 53791 26896 1
78997 42006 78997 1
72070 55860 72070 1
5989 11977 5989 1
63465 73070 63465 1
42665 85329 42665 1
43448 86895 43448 1
70185 59630 70185 1
47850 95699 47850 1
5990 11979 5990 1
20552 41103 20552 1
57216 85568 57216 1
23553 47105 23553 1
24124 48247 24124 1
59105 81790 59105 1
11440 22879 11440 1
66653 66694 66653 1
22366 44731 22366 1
81613 36774 81613 1
52422 95156 52422 1
83304 33392 83304 1
90684 18632 90684 1
58382 83236 58382 1
43117 86233 43117 1
92780 14440 92780 1
86807 26386 86807 1
41735 83469 41735 1
60187 79626 60187 1
13427 26853 13427 1
72337 55326 72337 1
89999 20002 89999 1
43424 86847 43424 1
92681 14638 92681 1
85323 29354 85323 1
8688 17375 8688 1
45216 90431 45216 1
34291 68581 34291 1
83173 33654 83173 1
2067 4133 2067 1
36440 72879 36440 1
90014 19972 90014 1
75196 49608 75196 1
41773 83545 41773 1
42108 84215 42108 1
30236 60471 30236 1
67063 65874 67063 1
39774 79547 39774 1
38265 76529 38265 1
77437 45126 77437 1
98285 3430 98285 1
68502 62996 68502 1
45726 91451 45726 1
17935 35869 17935 1
91705 16590 91705 1
76441 47118 76441 1
66609 66782 66609 1
28305 56609 28305 1
74941 50118 74941 1
68586 62828 68586 1
76064 47872 76064 1
31885 63769 31885 1
88583 22834 88583 1
41077 82153 41077 1
1167 2333 1167 1
68334 63332 68334 1
54328 91344 54328 1
89089 21822 89089 1
26157 52313 26157 1
74367 51266 74367 1
95517 8966 95517 1
47954 95907 47954 1
82351 35298 82351 1
99287 1426 99287 1
49713 99425 49713 1
25188 50375 25188 1
10827 21653 10827 1
44891 89781 44891 1
82877 34246 82877 1
93185 13630 93185 1
74337 51326 74337 1
18236 36471 18236 1
70129 59742 70129 1
36382 72763 36382 1
95312 9376 95312 1
18308 36615 18308 1
59917 80166 59917 1
93816 12368 93816 1
8500 16999 8500 1
96927 6146 96927 1
37977 75953 37977 1
50067 99866 50067 1
27866 55731 27866 1
64061 71878 64061 1
61261 77478 61261 1
3395 6789 3395 1
18971 37941 18971 1
80966 38068 80966 1
8412 16823 8412 1
7387 14773 7387 1
3257 6513 3257 1
27187 54373 27187 1
26479 52957 26479 1
49528 99055 49528 1
76778 46444 76778 1
17228 34455 17228 1
6165 12329 6165 1
43898 87795 43898 1
99795 410 99795 1
63113 73774 63113 1
1863 3725 1863 1
86903 26194 86903 1
34824 69647 34824 1
49834 99667 49834 1
53401 93198 53401 1
38832 77663 38832 1
4744 9487 4744 1
52491 95018 52491 1
99953 94 99953 1
40724 81447 40724 1
97254 5492 97254 1
49624 99247 49624 1
26954 53907 26954 1
55168 89664 55168 1
99604 792 99604 1
84357 31286 84357 1
50 99 50 1
96908 6184 96908 1
89680 20640 89680 1
21510 43019 21510 1
78354 43292 78354 1
43788 87575 43788 1
9870 19739 9870 1
98684 2632 98684 1
13785 27569 13785 1
55044 89912 55044 1
94234 11532 94234 1
57345 85310 57345 1
22210 44419 22210 1
59314 81372 59314 1
14168 28335 14168 1
20053 40105 20053 1
30042 60083 30042 1
19064 38127 19064 1
93344 13312 93344 1
81948 36104 81948 1
21092 42183 21092 1
31556 63111 31556 1
76823 46354 76823 1
9476 18951 9476 1
49891 99781 49891 1
74754 50492 74754 1
34211 68421 34211 1
13135 26269 13135 1
43215 86429 43215 1
24319 48637 24319 1
25701 51401 25701 1
38664 77327 38664 1
72807 54386 72807 1
57952 84096 57952 1
76806 46388 76806 1
99855 290 99855 1
69145 61710 69145 1
12485 24969 12485 1
70386 59228 70386 1
1582 3163 1582 1
22302 44603 22302 1
78533 42934 78533 1
78617 42766 78617 1
4048 8095 4048 1
67309 65382 67309 1
21864 43727 21864 1
5284 10567 5284 1
10596 21191 10596 1
11327 22653 11327 1
70497 59006 70497 1
36120 72239 36120 1
46418 92835 46418 1
47696 95391 47696 1
93713 12574 93713 1
46024 92047 46024 1
10487 20973 10487 1
92121 15758 92121 1
54953 90094 54953 1
76553 46894 76553 1
20348 40695 20348 1
2315 4629 2315 1
81101 37798 81101 1
83192 33616 83192 1
33338 66675 33338 1
71258 57484 71258 1
21589 43177 21589 1
81280 37440 81280 1
53298 93404 53298 1
86697 26606 86697 1
96199 7602 96199 1
